month_TA1305000030,week_TA1305000030,day_TA1305000030,hour_TA1305000030,month_TA1306000010,week_TA1306000010,day_TA1306000010,hour_TA1306000010,month_TA1307000120,week_TA1307000120,day_TA1307000120,hour_TA1307000120,month_TA1307000126,week_TA1307000126,day_TA1307000126,hour_TA1307000126,y
9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,4
9,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,3
9,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,5
9,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,5
9,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,3
9,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,2
9,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,6,17,0,0,0,0,0,0,0,0,0,0,0,0,7
9,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,2
9,0,6,20,0,0,0,0,0,0,0,0,0,0,0,0,2
9,0,6,21,0,0,0,0,0,0,0,0,0,0,0,0,2
9,0,6,22,0,0,0,0,0,0,0,0,0,0,0,0,2
9,0,6,23,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,4
9,0,13,9,0,0,0,0,0,0,0,0,0,0,0,0,3
9,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,2
9,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,5
9,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,3
9,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,3
9,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,5
9,0,13,15,0,0,0,0,0,0,0,0,0,0,0,0,7
9,0,13,16,0,0,0,0,0,0,0,0,0,0,0,0,16
9,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,14
9,0,13,18,0,0,0,0,0,0,0,0,0,0,0,0,3
9,0,13,19,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,13,20,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,3
9,0,20,7,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,20,8,0,0,0,0,0,0,0,0,0,0,0,0,2
9,0,20,9,0,0,0,0,0,0,0,0,0,0,0,0,2
9,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,20,11,0,0,0,0,0,0,0,0,0,0,0,0,4
9,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0,4
9,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,4
9,0,20,14,0,0,0,0,0,0,0,0,0,0,0,0,7
9,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,4
9,0,20,16,0,0,0,0,0,0,0,0,0,0,0,0,13
9,0,20,17,0,0,0,0,0,0,0,0,0,0,0,0,16
9,0,20,18,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,27,8,0,0,0,0,0,0,0,0,0,0,0,0,2
9,0,27,9,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,27,10,0,0,0,0,0,0,0,0,0,0,0,0,7
9,0,27,11,0,0,0,0,0,0,0,0,0,0,0,0,3
9,0,27,12,0,0,0,0,0,0,0,0,0,0,0,0,12
9,0,27,13,0,0,0,0,0,0,0,0,0,0,0,0,3
9,0,27,14,0,0,0,0,0,0,0,0,0,0,0,0,5
9,0,27,15,0,0,0,0,0,0,0,0,0,0,0,0,4
9,0,27,16,0,0,0,0,0,0,0,0,0,0,0,0,19
9,0,27,17,0,0,0,0,0,0,0,0,0,0,0,0,16
9,0,27,19,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,27,20,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,7,6,0,0,0,0,0,0,0,0,0,0,0,0,2
9,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3
9,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,7,10,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,7,11,0,0,0,0,0,0,0,0,0,0,0,0,8
9,1,7,12,0,0,0,0,0,0,0,0,0,0,0,0,9
9,1,7,13,0,0,0,0,0,0,0,0,0,0,0,0,7
9,1,7,14,0,0,0,0,0,0,0,0,0,0,0,0,4
9,1,7,15,0,0,0,0,0,0,0,0,0,0,0,0,3
9,1,7,16,0,0,0,0,0,0,0,0,0,0,0,0,12
9,1,7,17,0,0,0,0,0,0,0,0,0,0,0,0,14
9,1,7,18,0,0,0,0,0,0,0,0,0,0,0,0,17
9,1,7,19,0,0,0,0,0,0,0,0,0,0,0,0,3
9,1,7,21,0,0,0,0,0,0,0,0,0,0,0,0,2
9,1,14,7,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,14,8,0,0,0,0,0,0,0,0,0,0,0,0,8
9,1,14,9,0,0,0,0,0,0,0,0,0,0,0,0,2
9,1,14,10,0,0,0,0,0,0,0,0,0,0,0,0,4
9,1,14,11,0,0,0,0,0,0,0,0,0,0,0,0,6
9,1,14,12,0,0,0,0,0,0,0,0,0,0,0,0,4
9,1,14,13,0,0,0,0,0,0,0,0,0,0,0,0,3
9,1,14,14,0,0,0,0,0,0,0,0,0,0,0,0,4
9,1,14,15,0,0,0,0,0,0,0,0,0,0,0,0,6
9,1,14,16,0,0,0,0,0,0,0,0,0,0,0,0,20
9,1,14,17,0,0,0,0,0,0,0,0,0,0,0,0,19
9,1,14,18,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,14,20,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,14,21,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,21,7,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,21,8,0,0,0,0,0,0,0,0,0,0,0,0,2
9,1,21,10,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,21,11,0,0,0,0,0,0,0,0,0,0,0,0,2
9,1,21,12,0,0,0,0,0,0,0,0,0,0,0,0,10
9,1,21,13,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,21,14,0,0,0,0,0,0,0,0,0,0,0,0,5
9,1,21,15,0,0,0,0,0,0,0,0,0,0,0,0,7
9,1,21,16,0,0,0,0,0,0,0,0,0,0,0,0,14
9,1,21,17,0,0,0,0,0,0,0,0,0,0,0,0,10
9,1,21,19,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,21,23,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,28,7,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,28,8,0,0,0,0,0,0,0,0,0,0,0,0,3
9,1,28,9,0,0,0,0,0,0,0,0,0,0,0,0,6
9,1,28,10,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,28,11,0,0,0,0,0,0,0,0,0,0,0,0,5
9,1,28,12,0,0,0,0,0,0,0,0,0,0,0,0,8
9,1,28,13,0,0,0,0,0,0,0,0,0,0,0,0,4
9,1,28,14,0,0,0,0,0,0,0,0,0,0,0,0,5
9,1,28,15,0,0,0,0,0,0,0,0,0,0,0,0,6
9,1,28,16,0,0,0,0,0,0,0,0,0,0,0,0,23
